Position_x,Position_y,Position_z,Velocity_x,Velocity_y,Velocity_z,Time,Trigger,Trial,Grab
0,-65.51071,88.1142,0,0,0,0,-1,-1,-1
0,-65.51071,88.1142,0,0,0,0,-1,-1,-1
0,-65.51071,88.1142,0,0,0,0.02,-1,-1,-1
0,-65.51071,88.1142,0,0,0,0.0218878,-1,-1,-1
0,-65.51071,88.1142,0,0,0,0.0269063,-1,-1,-1
0,-65.51071,88.1142,0,0,0,0.0279061,-1,-1,-1
0,-65.51071,88.1142,0,0,0,0.0338062,-1,-1,-1
0,-65.51071,88.1142,0,0,0,0.0347653,-1,-1,-1
0,-65.51071,88.1142,0,0,0,0.0418979,-1,-1,-1
0,-65.51071,88.1142,0,0,0,0.0496097,-1,-1,-1
0,-65.51071,88.1142,0,0,0,0.0576632,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.064453,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.0723695,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.0792027,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.0862294,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.0941141,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.1010973,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.1089326,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.1159919,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.12402,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.1308039,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.1382203,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.1455958,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.1520814,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.1601125,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.1667328,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.1745612,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.1815901,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.1888214,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.1960115,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.2029012,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.2109687,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.2177128,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.2256777,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.2324365,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.2403664,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.2469878,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.2546879,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.2617654,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.2686251,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.2765191,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.2835214,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.291089,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.2979975,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.3059566,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.312837,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.3195472,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.3278907,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.3342183,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.3419559,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.3490633,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.3571047,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.3639431,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.3705687,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.3783005,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.385199,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.3928692,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.3995518,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.4075051,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.4139503,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.4217679,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.4286777,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.4357409,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.44365,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.4503765,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.458143,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.4648896,-1,-1,-1
0,-65.49101,88.16483,0,0,0,0.4728125,-1,-1,-1
